row_id,model_id,disk_id,tp,pp,dp,dp_mode,dtype,hardware,length_config,status,best_batch_size,throughput,ttft_ms,tpot_ms,error,build_number,build_url,server_log,client_log
Qwen/Qwen3-30B-A3B__tp2_pp1_dp2,Qwen/Qwen3-30B-A3B,3,2,1,2,router_dp,bfloat16,gnr,1024/1024,PASS,50,478.07,4004.42,98.58,missing_result_file,28,https://inteltf-jenk.sh.intel.com/job/ipex_pytorch_cpu_vllm_benchmark_router-serving-GNR-weekly-automated/28/,/localdisk2/jenkins_dir/workspace/ipex_pytorch_cpu_vllm_benchmark_router-serving-GNR-weekly-automated/logs/server_Qwen_Qwen3-30B-A3B__tp2_pp1_dp2.log,/localdisk2/jenkins_dir/workspace/ipex_pytorch_cpu_vllm_benchmark_router-serving-GNR-weekly-automated/logs/client_Qwen_Qwen3-30B-A3B__tp2_pp1_dp2_Length-1024_1024.log
Qwen/Qwen3-4B__tp1_pp1_dp6,Qwen/Qwen3-4B,1,1,1,6,router_dp,bfloat16,gnr,1024/1024,PASS,103,1213.61,4759.7,76.31,missing_result_file,28,https://inteltf-jenk.sh.intel.com/job/ipex_pytorch_cpu_vllm_benchmark_router-serving-GNR-weekly-automated/28/,/localdisk2/jenkins_dir/workspace/ipex_pytorch_cpu_vllm_benchmark_router-serving-GNR-weekly-automated/logs/server_Qwen_Qwen3-4B__tp1_pp1_dp6.log,/localdisk2/jenkins_dir/workspace/ipex_pytorch_cpu_vllm_benchmark_router-serving-GNR-weekly-automated/logs/client_Qwen_Qwen3-4B__tp1_pp1_dp6_Length-1024_1024.log
Qwen/Qwen3-8B__tp1_pp1_dp6,Qwen/Qwen3-8B,1,1,1,6,router_dp,bfloat16,gnr,1024/1024,PASS,41,421.16,4830.88,89.52,missing_result_file,28,https://inteltf-jenk.sh.intel.com/job/ipex_pytorch_cpu_vllm_benchmark_router-serving-GNR-weekly-automated/28/,/localdisk2/jenkins_dir/workspace/ipex_pytorch_cpu_vllm_benchmark_router-serving-GNR-weekly-automated/logs/server_Qwen_Qwen3-8B__tp1_pp1_dp6.log,/localdisk2/jenkins_dir/workspace/ipex_pytorch_cpu_vllm_benchmark_router-serving-GNR-weekly-automated/logs/client_Qwen_Qwen3-8B__tp1_pp1_dp6_Length-1024_1024.log
Qwen/Qwen3-VL-30B-A3B-Instruct__tp2_pp1_dp2,Qwen/Qwen3-VL-30B-A3B-Instruct,3,2,1,2,router_dp,bfloat16,gnr,1024/1024,PASS,18,170.07,2427.9,99.6,missing_result_file,28,https://inteltf-jenk.sh.intel.com/job/ipex_pytorch_cpu_vllm_benchmark_router-serving-GNR-weekly-automated/28/,/localdisk2/jenkins_dir/workspace/ipex_pytorch_cpu_vllm_benchmark_router-serving-GNR-weekly-automated/logs/server_Qwen_Qwen3-VL-30B-A3B-Instruct__tp2_pp1_dp2.log,/localdisk2/jenkins_dir/workspace/ipex_pytorch_cpu_vllm_benchmark_router-serving-GNR-weekly-automated/logs/client_Qwen_Qwen3-VL-30B-A3B-Instruct__tp2_pp1_dp2_Length-1024_1024.log
RedHatAI/DeepSeek-R1-Distill-Llama-70B-quantized.w8a8__tp2_pp1_dp2,RedHatAI/DeepSeek-R1-Distill-Llama-70B-quantized.w8a8,3,2,1,2,router_dp,bfloat16,gnr,1024/1024,SLA_NOT_MET,1,5.68,2855.47,173.51,missing_result_file,28,https://inteltf-jenk.sh.intel.com/job/ipex_pytorch_cpu_vllm_benchmark_router-serving-GNR-weekly-automated/28/,/localdisk2/jenkins_dir/workspace/ipex_pytorch_cpu_vllm_benchmark_router-serving-GNR-weekly-automated/logs/server_RedHatAI_DeepSeek-R1-Distill-Llama-70B-quantized.w8a8__tp2_pp1_dp2.log,/localdisk2/jenkins_dir/workspace/ipex_pytorch_cpu_vllm_benchmark_router-serving-GNR-weekly-automated/logs/client_RedHatAI_DeepSeek-R1-Distill-Llama-70B-quantized.w8a8__tp2_pp1_dp2_Length-1024_1024.log
RedHatAI/Llama-3.2-1B-Instruct-quantized.w8a8__tp1_pp1_dp6,RedHatAI/Llama-3.2-1B-Instruct-quantized.w8a8,3,1,1,6,router_dp,bfloat16,gnr,1024/1024,PASS,360,8207.82,3236.49,39.25,missing_result_file,28,https://inteltf-jenk.sh.intel.com/job/ipex_pytorch_cpu_vllm_benchmark_router-serving-GNR-weekly-automated/28/,/localdisk2/jenkins_dir/workspace/ipex_pytorch_cpu_vllm_benchmark_router-serving-GNR-weekly-automated/logs/server_RedHatAI_Llama-3.2-1B-Instruct-quantized.w8a8__tp1_pp1_dp6.log,/localdisk2/jenkins_dir/workspace/ipex_pytorch_cpu_vllm_benchmark_router-serving-GNR-weekly-automated/logs/client_RedHatAI_Llama-3.2-1B-Instruct-quantized.w8a8__tp1_pp1_dp6_Length-1024_1024.log
RedHatAI/Llama-3.2-3B-Instruct-quantized.w8a8__tp1_pp1_dp6,RedHatAI/Llama-3.2-3B-Instruct-quantized.w8a8,3,1,1,6,router_dp,bfloat16,gnr,1024/1024,PASS,114,1118.08,3250.3,97.82,missing_result_file,28,https://inteltf-jenk.sh.intel.com/job/ipex_pytorch_cpu_vllm_benchmark_router-serving-GNR-weekly-automated/28/,/localdisk2/jenkins_dir/workspace/ipex_pytorch_cpu_vllm_benchmark_router-serving-GNR-weekly-automated/logs/server_RedHatAI_Llama-3.2-3B-Instruct-quantized.w8a8__tp1_pp1_dp6.log,/localdisk2/jenkins_dir/workspace/ipex_pytorch_cpu_vllm_benchmark_router-serving-GNR-weekly-automated/logs/client_RedHatAI_Llama-3.2-3B-Instruct-quantized.w8a8__tp1_pp1_dp6_Length-1024_1024.log
RedHatAI/Meta-Llama-3.1-8B-Instruct-quantized.w8a8__tp1_pp1_dp6,RedHatAI/Meta-Llama-3.1-8B-Instruct-quantized.w8a8,3,1,1,6,router_dp,bfloat16,gnr,1024/1024,PASS,66,904.69,4717.72,63.11,missing_result_file,28,https://inteltf-jenk.sh.intel.com/job/ipex_pytorch_cpu_vllm_benchmark_router-serving-GNR-weekly-automated/28/,/localdisk2/jenkins_dir/workspace/ipex_pytorch_cpu_vllm_benchmark_router-serving-GNR-weekly-automated/logs/server_RedHatAI_Meta-Llama-3.1-8B-Instruct-quantized.w8a8__tp1_pp1_dp6.log,/localdisk2/jenkins_dir/workspace/ipex_pytorch_cpu_vllm_benchmark_router-serving-GNR-weekly-automated/logs/client_RedHatAI_Meta-Llama-3.1-8B-Instruct-quantized.w8a8__tp1_pp1_dp6_Length-1024_1024.log
RedHatAI/Meta-Llama-3.1-8B-quantized.w8a8__tp1_pp1_dp6,RedHatAI/Meta-Llama-3.1-8B-quantized.w8a8,3,1,1,6,router_dp,bfloat16,gnr,1024/1024,PASS,68,916.51,4991.05,63.18,missing_result_file,28,https://inteltf-jenk.sh.intel.com/job/ipex_pytorch_cpu_vllm_benchmark_router-serving-GNR-weekly-automated/28/,/localdisk2/jenkins_dir/workspace/ipex_pytorch_cpu_vllm_benchmark_router-serving-GNR-weekly-automated/logs/server_RedHatAI_Meta-Llama-3.1-8B-quantized.w8a8__tp1_pp1_dp6.log,/localdisk2/jenkins_dir/workspace/ipex_pytorch_cpu_vllm_benchmark_router-serving-GNR-weekly-automated/logs/client_RedHatAI_Meta-Llama-3.1-8B-quantized.w8a8__tp1_pp1_dp6_Length-1024_1024.log
RedHatAI/QwQ-32B-quantized.w8a8__tp2_pp1_dp2,RedHatAI/QwQ-32B-quantized.w8a8,3,2,1,2,router_dp,bfloat16,gnr,1024/1024,PASS,2,21.6,1037.31,90.69,missing_result_file,28,https://inteltf-jenk.sh.intel.com/job/ipex_pytorch_cpu_vllm_benchmark_router-serving-GNR-weekly-automated/28/,/localdisk2/jenkins_dir/workspace/ipex_pytorch_cpu_vllm_benchmark_router-serving-GNR-weekly-automated/logs/server_RedHatAI_QwQ-32B-quantized.w8a8__tp2_pp1_dp2.log,/localdisk2/jenkins_dir/workspace/ipex_pytorch_cpu_vllm_benchmark_router-serving-GNR-weekly-automated/logs/client_RedHatAI_QwQ-32B-quantized.w8a8__tp2_pp1_dp2_Length-1024_1024.log
TheBloke/Mistral-7B-Instruct-v0.2-AWQ__tp1_pp1_dp6,TheBloke/Mistral-7B-Instruct-v0.2-AWQ,3,1,1,6,router_dp,bfloat16,gnr,1024/1024,PASS,54,581.11,4764.93,86.92,missing_result_file,28,https://inteltf-jenk.sh.intel.com/job/ipex_pytorch_cpu_vllm_benchmark_router-serving-GNR-weekly-automated/28/,/localdisk2/jenkins_dir/workspace/ipex_pytorch_cpu_vllm_benchmark_router-serving-GNR-weekly-automated/logs/server_TheBloke_Mistral-7B-Instruct-v0.2-AWQ__tp1_pp1_dp6.log,/localdisk2/jenkins_dir/workspace/ipex_pytorch_cpu_vllm_benchmark_router-serving-GNR-weekly-automated/logs/client_TheBloke_Mistral-7B-Instruct-v0.2-AWQ__tp1_pp1_dp6_Length-1024_1024.log
TheBloke/TinyLlama-1.1B-Chat-v1.0-AWQ__tp1_pp1_dp6,TheBloke/TinyLlama-1.1B-Chat-v1.0-AWQ,3,1,1,6,router_dp,bfloat16,gnr,1024/1024,PASS,305,7436.79,4952.94,35.7,missing_result_file,28,https://inteltf-jenk.sh.intel.com/job/ipex_pytorch_cpu_vllm_benchmark_router-serving-GNR-weekly-automated/28/,/localdisk2/jenkins_dir/workspace/ipex_pytorch_cpu_vllm_benchmark_router-serving-GNR-weekly-automated/logs/server_TheBloke_TinyLlama-1.1B-Chat-v1.0-AWQ__tp1_pp1_dp6.log,/localdisk2/jenkins_dir/workspace/ipex_pytorch_cpu_vllm_benchmark_router-serving-GNR-weekly-automated/logs/client_TheBloke_TinyLlama-1.1B-Chat-v1.0-AWQ__tp1_pp1_dp6_Length-1024_1024.log
TheBloke/TinyLlama-1.1B-Chat-v1.0-GPTQ__tp1_pp1_dp6,TheBloke/TinyLlama-1.1B-Chat-v1.0-GPTQ,3,1,1,6,router_dp,bfloat16,gnr,1024/1024,PASS,308,7213.04,4983.11,37.3,missing_result_file,28,https://inteltf-jenk.sh.intel.com/job/ipex_pytorch_cpu_vllm_benchmark_router-serving-GNR-weekly-automated/28/,/localdisk2/jenkins_dir/workspace/ipex_pytorch_cpu_vllm_benchmark_router-serving-GNR-weekly-automated/logs/server_TheBloke_TinyLlama-1.1B-Chat-v1.0-GPTQ__tp1_pp1_dp6.log,/localdisk2/jenkins_dir/workspace/ipex_pytorch_cpu_vllm_benchmark_router-serving-GNR-weekly-automated/logs/client_TheBloke_TinyLlama-1.1B-Chat-v1.0-GPTQ__tp1_pp1_dp6_Length-1024_1024.log
deepseek-ai/DeepSeek-OCR__tp1_pp1_dp6,deepseek-ai/DeepSeek-OCR,3,1,1,6,router_dp,bfloat16,gnr,1024/1024,PASS,548,6667.22,2322.13,66.61,missing_result_file,28,https://inteltf-jenk.sh.intel.com/job/ipex_pytorch_cpu_vllm_benchmark_router-serving-GNR-weekly-automated/28/,/localdisk2/jenkins_dir/workspace/ipex_pytorch_cpu_vllm_benchmark_router-serving-GNR-weekly-automated/logs/server_deepseek-ai_DeepSeek-OCR__tp1_pp1_dp6.log,/localdisk2/jenkins_dir/workspace/ipex_pytorch_cpu_vllm_benchmark_router-serving-GNR-weekly-automated/logs/client_deepseek-ai_DeepSeek-OCR__tp1_pp1_dp6_Length-1024_1024.log
google/gemma-3-12b-it__tp2_pp1_dp2,google/gemma-3-12b-it,3,2,1,2,router_dp,bfloat16,gnr,1024/1024,PASS,25,261.55,4882.54,89.22,missing_result_file,28,https://inteltf-jenk.sh.intel.com/job/ipex_pytorch_cpu_vllm_benchmark_router-serving-GNR-weekly-automated/28/,/localdisk2/jenkins_dir/workspace/ipex_pytorch_cpu_vllm_benchmark_router-serving-GNR-weekly-automated/logs/server_google_gemma-3-12b-it__tp2_pp1_dp2.log,/localdisk2/jenkins_dir/workspace/ipex_pytorch_cpu_vllm_benchmark_router-serving-GNR-weekly-automated/logs/client_google_gemma-3-12b-it__tp2_pp1_dp2_Length-1024_1024.log
